GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0019277,UDP-N-acetylgalactosamine biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0033512,L-lysine catabolic process to acetyl-CoA via saccharopine,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0072348,sulfur compound transport,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0009081,branched-chain amino acid metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:1903804,glycine import across plasma membrane,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0071476,cellular hypotonic response,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0008104,protein localization,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0019264,glycine biosynthetic process from serine,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0001731,formation of translation preinitiation complex,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006104,succinyl-CoA metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0001682,tRNA 5'-leader removal,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0051083,'de novo' cotranslational protein folding,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0016261,selenocysteine catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0070929,trans-translation,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0019509,L-methionine salvage from methylthioadenosine,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0046124,purine deoxyribonucleoside catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0031556,transcriptional attenuation by ribosome,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0042168,heme metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0033384,geranyl diphosphate biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:1900376,regulation of secondary metabolite biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006531,aspartate metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0015941,pantothenate catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0048034,heme O biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006172,ADP biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0015807,L-amino acid transport,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0071266,'de novo' L-methionine biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0051143,propanediol metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
